@relation Weather_data

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute class {0,1}

@data
30.6,22.7,1015.1,12.6,9.3,17.1,42.1,19,0
23.9,20.8,1016.4,4.3,5.1,10.1,34,15.1,0
36.7,36.4,1003.8,1,6.6,15,39,34,1
19.3,16.2,1013.6,8.1,11.5,22,28.9,9,1
23.3,18,1007.5,14.2,12.8,26,34,14,0
17.7,10.5,1018.5,12.5,6.6,17.1,39,6.1,0
38,33,1014.1,12.8,13.6,22,44.1,26.1,0
26.7,20.9,1025.1,10.4,10.1,15,32,21,0
33.2,28.6,1023.1,6.3,4,11.1,37,30,1
27.6,21.3,1022.7,8.4,7.9,13,36,21,0
48.2,43.2,1004.4,6.2,14.2,26,62.1,37,1
52.3,34.9,1008.1,14.3,9.9,22,68,39.9,0
42.1,33.9,1019.5,11.3,9.2,22,62.1,30.9,0
64.1,41.8,1017.3,13.9,10.1,17.1,78.1,51.1,0
66,46.4,1007.9,11.5,14.1,26,77,54,1
70.5,64.1,1010,10.3,14.3,26,80.1,63,1
60.3,55,1006.3,7,5.9,13,70,54,1
67,54.9,1016.1,12.8,9.4,15,77,57,0
71.2,65,1011.3,10.8,11.3,15.9,80.1,64,0
76.7,68.9,1004.1,11.9,17.5,27,84,69.1,1
74.5,65.4,1014.8,11.8,3,12,88,64,0
65.5,60.3,1016.6,10.6,10.6,22,77,57.9,1
73.9,69.7,1016.8,5.2,7.2,8.9,84.9,68,0
82.6,72.8,1019.8,13.7,9.6,13,93.9,73.9,0
85,76.1,1013.2,6.7,8.7,13,91.9,75,0
74.7,67.8,1014.2,7.6,3.1,13,84,66,1
77.5,72.3,1016.1,12.1,8.5,22,90,69.1,1
75.7,71.2,1013.5,8.4,5,13,84,71.1,0
66.7,58.6,1020.1,11,8,15,75,60.1,1
75.8,63.5,1015.3,14.5,10.3,22,89.1,64,0
70.6,64.7,1015.8,9.6,2.5,13,81,66,1
73.5,61,1016.4,12,4.2,12,86,64,0
60.6,47.3,1022,12.3,5.8,13,78.1,45,0
59.5,51.5,1023.5,9.7,2.2,8.9,73,51.1,1
63.6,49.2,1017,14.3,18.6,28,73.9,55.9,1
68.5,60.1,1014,10.5,7.7,13,84,57.9,0
64.3,55,1018.2,14.9,9.5,15,77,55,1
63.3,54.4,1015.8,14.3,7.2,15,77,52,0
39.4,31.2,1023.7,14.3,6.3,15,63,26.1,0
54.7,47.3,1002.5,11.4,1.5,10.1,72,43,0
34.4,21.6,1022.6,14.9,9.6,15.9,55,21,0
41.6,35.4,1008.6,13.5,14.1,26,46,36,1
48.5,39.5,1013.8,14.5,8,22.9,60.1,35.1,0
47.5,35.8,1014.2,10.9,11.3,20,54,42.1,0
16,7.8,1036.8,13.1,2.5,15,30.9,7,0
30,27.3,1011.8,4.3,10.9,22.9,39,19,1
24.6,16.7,1027.3,11.9,10.3,22,39,17.1,0
11.5,4.9,1021.2,10.4,8,17.1,35.1,1.9,0
16.7,8.1,1030.2,8.8,0.4,8.9,28.9,10.9,0
30.2,26.3,1012.6,5,8.2,15,42.1,25,1
8.3,-1.4,1029.3,8.6,0.2,4.1,21,-8,0
33.4,31.6,1017.4,5.2,11.1,20,34,30.9,1
18.9,11.8,1031.1,11.2,6.1,15,37.9,8.1,0
16.4,8.7,1019.8,12,14.2,19,28.9,10,0
27.5,18.6,1028.3,14.9,15.7,30.1,32,19,0
26.1,17.4,1022.3,10.6,9,13,32,21.9,1
16.9,6.9,1027.1,11,8.5,14,30,9,0
36.2,27.2,1017.1,10.2,7,13,52,26.1,0
53.6,32.4,1003,14.9,10.4,17.1,66,46,0
